TS	Time	Phase	Temps
2012-04-26 12:00:23.219	22.953	-79.185	310.47
2012-04-26 12:00:23.422	23.156	-78.312	310.47
2012-04-26 12:00:23.625	23.359	-78.265	310.46
2012-04-26 12:00:23.828	23.562	-78.234	310.46
2012-04-26 12:00:24.031	23.765	-78.573	310.46
2012-04-26 12:00:24.235	23.969	-78.523	310.46
2012-04-26 12:00:24.422	24.156	-77.586	310.47
2012-04-26 12:00:24.625	24.359	-77.66	310.47
2012-04-26 12:00:24.828	24.562	-78.521	310.47
2012-04-26 12:00:25.031	24.765	-79.063	310.47
2012-04-26 12:00:25.235	24.969	-78.063	310.47
2012-04-26 12:00:25.438	25.172	-77.872	310.47
2012-04-26 12:00:25.641	25.375	-77.163	310.47
2012-04-26 12:00:25.828	25.562	-78.108	310.47
2012-04-26 12:00:26.031	25.765	-78.145	310.47
2012-04-26 12:00:26.235	25.969	-78.013	310.47
2012-04-26 12:00:26.438	26.172	-79.701	310.47
2012-04-26 12:00:26.641	26.375	-78.722	310.47
2012-04-26 12:00:26.844	26.578	-77.775	310.47
2012-04-26 12:00:27.031	26.765	-77.84	310.47
2012-04-26 12:00:27.235	26.969	-76.554	310.47
2012-04-26 12:00:27.438	27.172	-78.2	310.47
2012-04-26 12:00:27.641	27.375	-77.704	310.47
2012-04-26 12:00:27.844	27.578	-78.178	310.47
2012-04-26 12:00:28.047	27.781	-77.653	310.47
2012-04-26 12:00:28.250	27.984	-77.687	310.47
2012-04-26 12:00:28.438	28.172	-77.875	310.47
2012-04-26 12:00:28.641	28.375	-77.419	310.47
2012-04-26 12:00:28.844	28.578	-76.896	310.47
2012-04-26 12:00:29.047	28.781	-78.632	310.47
2012-04-26 12:00:29.250	28.984	-78.121	310.47
2012-04-26 12:00:29.453	29.187	-77.416	310.47
2012-04-26 12:00:29.656	29.39	-77.095	310.47
2012-04-26 12:00:29.844	29.578	-78.008	310.47
2012-04-26 12:00:30.047	29.781	-77.999	310.47
2012-04-26 12:00:30.250	29.984	-77.454	310.47
2012-04-26 12:00:30.453	30.187	-77.631	310.46
2012-04-26 12:00:30.656	30.39	-78.278	310.46
2012-04-26 12:00:30.860	30.594	-78.748	310.46
2012-04-26 12:00:31.063	30.797	-77.625	310.46
2012-04-26 12:00:31.250	30.984	-77.394	310.46
2012-04-26 12:00:31.453	31.187	-78.562	310.46
2012-04-26 12:00:31.656	31.39	-78.811	310.46
2012-04-26 12:00:31.860	31.594	-77.425	310.46
2012-04-26 12:00:32.063	31.797	-77.177	310.46
2012-04-26 12:00:32.266	32	-77.099	310.46
2012-04-26 12:00:32.453	32.187	-78.282	310.46
2012-04-26 12:00:32.656	32.39	-77.312	310.46
2012-04-26 12:00:32.859	32.593	-77.61	310.46
2012-04-26 12:00:33.063	32.797	-77.27	310.45
2012-04-26 12:00:33.266	33	-78.212	310.45
2012-04-26 12:00:33.469	33.203	-77.95	310.45
2012-04-26 12:00:33.672	33.406	-77.264	310.45
2012-04-26 12:00:33.859	33.593	-77.308	310.44
2012-04-26 12:00:34.063	33.797	-79.238	310.44
2012-04-26 12:00:34.266	34	-77.662	310.44
2012-04-26 12:00:34.469	34.203	-77.008	310.44
2012-04-26 12:00:34.672	34.406	-77.035	310.44
2012-04-26 12:00:34.875	34.609	-78.329	310.44
2012-04-26 12:00:35.078	34.812	-77.997	310.44
2012-04-26 12:00:35.266	35	-77.573	310.44
2012-04-26 12:00:35.469	35.203	-77.185	310.44
2012-04-26 12:00:35.672	35.406	-78.78	310.44
2012-04-26 12:00:35.875	35.609	-77.912	310.44
2012-04-26 12:00:36.078	35.812	-76.988	310.44
2012-04-26 12:00:36.281	36.015	-77.566	310.44
2012-04-26 12:00:36.484	36.218	-79.967	310.45
2012-04-26 12:00:36.672	36.406	-78.709	310.45
2012-04-26 12:00:36.875	36.609	-77.983	310.46
2012-04-26 12:00:37.078	36.812	-77.796	310.46
2012-04-26 12:00:37.281	37.015	-77.974	310.46
2012-04-26 12:00:37.484	37.218	-78.153	310.46
2012-04-26 12:00:37.688	37.422	-77.853	310.46
2012-04-26 12:00:37.875	37.609	-77.77	310.46
2012-04-26 12:00:38.078	37.812	-78.207	310.45
2012-04-26 12:00:38.281	38.015	-78.668	310.45
2012-04-26 12:00:38.484	38.218	-78.413	310.46
2012-04-26 12:00:38.688	38.422	-77.694	310.46
2012-04-26 12:00:38.891	38.625	-77.372	310.45
2012-04-26 12:00:39.078	38.812	-77.772	310.45
2012-04-26 12:00:39.281	39.015	-77.771	310.45
2012-04-26 12:00:39.484	39.218	-77.755	310.45
2012-04-26 12:00:39.688	39.422	-77.576	310.45
2012-04-26 12:00:39.891	39.625	-77.975	310.45
2012-04-26 12:00:40.094	39.828	-78.334	310.45
2012-04-26 12:00:40.297	40.031	-78.143	310.45
2012-04-26 12:00:40.484	40.218	-77.911	310.45
2012-04-26 12:00:40.688	40.422	-78.651	310.45
2012-04-26 12:00:40.891	40.625	-77.509	310.45
2012-04-26 12:00:41.094	40.828	-76.769	310.44
2012-04-26 12:00:41.297	41.031	-77.365	310.44
2012-04-26 12:00:41.500	41.234	-77.279	310.45
2012-04-26 12:00:41.703	41.437	-78.513	310.45
2012-04-26 12:00:41.891	41.625	-77.796	310.44
2012-04-26 12:00:42.094	41.828	-77.921	310.44
2012-04-26 12:00:42.297	42.031	-79.051	310.44
2012-04-26 12:00:42.500	42.234	-78.582	310.44
2012-04-26 12:00:42.703	42.437	-77.636	310.44
2012-04-26 12:00:42.906	42.64	-77.217	310.44
2012-04-26 12:00:43.109	42.843	-78.104	310.44
2012-04-26 12:00:43.297	43.031	-79.179	310.45
2012-04-26 12:00:43.500	43.234	-77.656	310.45
2012-04-26 12:00:43.703	43.437	-78.044	310.45
2012-04-26 12:00:43.906	43.64	-76.587	310.45
2012-04-26 12:00:44.109	43.843	-78.425	310.45
2012-04-26 12:00:44.313	44.047	-77.53	310.45
2012-04-26 12:00:44.500	44.234	-77.631	310.45
2012-04-26 12:00:44.703	44.437	-78.045	310.45
2012-04-26 12:00:44.906	44.64	-79.135	310.45
2012-04-26 12:00:45.109	44.843	-78.966	310.45
2012-04-26 12:00:45.313	45.047	-77.715	310.45
2012-04-26 12:00:45.516	45.25	-77.666	310.45
2012-04-26 12:00:45.703	45.437	-77.991	310.45
2012-04-26 12:00:45.906	45.64	-77.898	310.45
2012-04-26 12:00:46.109	45.843	-77.527	310.45
2012-04-26 12:00:46.313	46.047	-77.218	310.45
2012-04-26 12:00:46.516	46.25	-78.542	310.45
2012-04-26 12:00:46.719	46.453	-78.291	310.45
2012-04-26 12:00:46.922	46.656	-77.94	310.45
2012-04-26 12:00:47.109	46.843	-77.557	310.45
2012-04-26 12:00:47.313	47.047	-79.522	310.45
2012-04-26 12:00:47.516	47.25	-78.91	310.45
2012-04-26 12:00:47.719	47.453	-76.988	310.45
2012-04-26 12:00:47.922	47.656	-77.32	310.45
2012-04-26 12:00:48.125	47.859	-77.966	310.45
2012-04-26 12:00:48.328	48.062	-78.547	310.45
2012-04-26 12:00:48.516	48.25	-77.818	310.45
2012-04-26 12:00:48.719	48.453	-78.401	310.45
2012-04-26 12:00:48.922	48.656	-79.008	310.45
