TS	Tilt	Phase	Amplitude	PLL_Locked	TempSensor1	TempSensor2
2020-02-05 15:57:10.120	0.00	-86.1151	-22.5897	1	292.420013	292.690002
2020-02-05 15:57:11.045	0.00	-86.1698	-22.5894	1	292.420013	292.700012
2020-02-05 15:57:11.975	0.00	-86.1116	-22.5939	1	292.410004	292.679993
2020-02-05 15:57:12.920	0.00	-86.1918	-22.5890	1	292.420013	292.670013
2020-02-05 15:57:13.849	0.00	-86.1828	-22.5896	1	292.420013	292.670013
2020-02-05 15:57:14.824	0.00	-86.1104	-22.5880	1	292.429993	292.679993
2020-02-05 15:57:15.749	0.00	-86.2211	-22.5906	1	292.420013	292.679993
2020-02-05 15:57:16.677	0.00	-86.2094	-22.5851	1	292.429993	292.679993
2020-02-05 15:57:17.632	0.00	-86.3350	-22.5878	1	292.429993	292.679993
2020-02-05 15:57:18.566	0.00	-86.4210	-22.5873	1	292.429993	292.709991
2020-02-05 15:57:19.502	0.00	-86.4024	-22.5893	1	292.420013	292.670013
2020-02-05 15:57:20.455	0.00	-86.4415	-22.5911	1	292.420013	292.679993
2020-02-05 15:57:21.385	0.00	-86.4007	-22.5923	1	292.420013	292.679993
2020-02-05 15:57:22.358	0.00	-86.4515	-22.5899	1	292.420013	292.690002
2020-02-05 15:57:23.271	0.00	-86.4377	-22.5927	1	292.420013	292.679993
2020-02-05 15:57:24.241	0.00	-86.4059	-22.5953	1	292.429993	292.679993
2020-02-05 15:57:25.166	0.00	-86.6066	-22.5923	1	292.429993	292.670013
2020-02-05 15:57:26.119	0.00	-86.6141	-22.5921	1	292.429993	292.679993
2020-02-05 15:57:27.046	0.00	-86.6767	-22.5987	1	292.420013	292.679993
2020-02-05 15:57:27.987	0.00	-86.7320	-22.5943	1	292.410004	292.679993
2020-02-05 15:57:28.950	0.00	-86.6720	-22.5909	1	292.420013	292.700012
2020-02-05 15:57:29.883	0.00	-86.7360	-22.5911	1	292.410004	292.679993
2020-02-05 15:57:30.824	0.00	-86.6438	-22.5958	1	292.420013	292.679993
2020-02-05 15:57:31.769	0.00	-86.6246	-22.5965	1	292.429993	292.679993
2020-02-05 15:57:32.710	0.00	-86.7114	-22.5998	1	292.429993	292.679993
2020-02-05 15:57:33.663	0.00	-86.6350	-22.5902	1	292.420013	292.679993
2020-02-05 15:57:34.587	0.00	-86.7584	-22.5953	1	292.420013	292.679993
2020-02-05 15:57:35.549	0.00	-86.7258	-22.5995	1	292.399994	292.679993
2020-02-05 15:57:36.468	0.00	-86.7158	-22.5955	1	292.410004	292.690002
2020-02-05 15:57:37.405	0.00	-86.7830	-22.5927	1	292.420013	292.679993
2020-02-05 15:57:38.358	0.00	-86.7383	-22.5943	1	292.410004	292.690002
2020-02-05 15:57:39.298	0.00	-86.8855	-22.5942	1	292.420013	292.690002
2020-02-05 15:57:40.251	0.00	-86.8706	-22.5943	1	292.429993	292.679993
2020-02-05 15:57:41.182	0.00	-86.8534	-22.6004	1	292.420013	292.679993
2020-02-05 15:57:42.091	0.00	-86.9388	-22.6054	1	292.410004	292.679993
2020-02-05 15:57:43.069	0.00	-86.9073	-22.6031	1	292.420013	292.679993
2020-02-05 15:57:43.992	0.00	-87.0499	-22.6088	1	292.410004	292.679993
2020-02-05 15:57:44.966	0.00	-87.0339	-22.6035	1	292.410004	292.660004
2020-02-05 15:57:45.896	0.00	-86.9641	-22.6006	1	292.420013	292.679993
2020-02-05 15:57:46.827	0.00	-87.0732	-22.6046	1	292.410004	292.679993
2020-02-05 15:57:47.791	0.00	-87.0483	-22.6054	1	292.410004	292.679993
2020-02-05 15:57:48.719	0.00	-87.1586	-22.6085	1	292.420013	292.679993
2020-02-05 15:57:49.688	0.00	-87.2911	-22.6014	1	292.420013	292.670013
2020-02-05 15:57:50.596	0.00	-87.2212	-22.6087	1	292.410004	292.670013
2020-02-05 15:57:51.540	0.00	-87.2500	-22.5997	1	292.420013	292.660004
2020-02-05 15:57:52.500	0.00	-87.2335	-22.5986	1	292.420013	292.670013
2020-02-05 15:57:53.432	0.00	-87.2191	-22.6077	1	292.420013	292.670013
2020-02-05 15:57:54.378	0.00	-87.2706	-22.5944	1	292.410004	292.679993
2020-02-05 15:57:55.320	0.00	-87.2544	-22.5980	1	292.410004	292.679993
2020-02-05 15:57:56.276	0.00	-87.3191	-22.6040	1	292.420013	292.679993
2020-02-05 15:57:57.202	0.00	-87.3814	-22.6026	1	292.420013	292.660004
2020-02-05 15:57:58.137	0.00	-87.4832	-22.6106	1	292.420013	292.679993
2020-02-05 15:57:59.112	0.00	-87.5706	-22.6160	1	292.410004	292.679993
2020-02-05 15:58:00.028	0.00	-87.5195	-22.6051	1	292.420013	292.690002
2020-02-05 15:58:01.030	0.00	-87.6809	-22.6129	1	292.410004	292.670013
2020-02-05 15:58:01.907	0.00	-87.6459	-22.6079	1	292.420013	292.679993
2020-02-05 15:58:02.844	0.00	-87.6822	-22.6035	1	292.410004	292.670013
2020-02-05 15:58:03.819	0.00	-87.7534	-22.6107	1	292.399994	292.679993
2020-02-05 15:58:04.730	0.00	-87.7841	-22.6112	1	292.410004	292.670013
2020-02-05 15:58:05.688	0.00	-87.8387	-22.6094	1	292.420013	292.679993
2020-02-05 15:58:06.594	0.00	-87.7342	-22.6110	1	292.410004	292.679993
2020-02-05 15:58:07.540	0.00	-87.7811	-22.6030	1	292.420013	292.690002
2020-02-05 15:58:08.491	0.00	-87.7889	-22.6026	1	292.410004	292.679993
2020-02-05 15:58:09.430	0.00	-87.7702	-22.6032	1	292.429993	292.679993
2020-02-05 15:58:10.379	0.00	-87.8184	-22.6065	1	292.420013	292.670013
2020-02-05 15:58:11.320	0.00	-87.7871	-22.5988	1	292.410004	292.679993
2020-02-05 15:58:12.263	0.00	-87.7457	-22.6056	1	292.420013	292.670013
2020-02-05 15:58:13.216	0.00	-87.7677	-22.6074	1	292.420013	292.679993
2020-02-05 15:58:14.145	0.00	-87.7132	-22.6085	1	292.420013	292.670013
2020-02-05 15:58:15.097	0.00	-87.7744	-22.6056	1	292.420013	292.670013
2020-02-05 15:58:16.025	0.00	-87.7486	-22.6024	1	292.420013	292.670013
2020-02-05 15:58:16.964	0.00	-87.8073	-22.6014	1	292.429993	292.679993
2020-02-05 15:58:17.923	0.00	-87.8903	-22.6018	1	292.420013	292.670013
2020-02-05 15:58:18.855	0.00	-87.8980	-22.6000	1	292.420013	292.679993
2020-02-05 15:58:19.773	0.00	-87.9185	-22.6156	1	292.410004	292.670013
2020-02-05 15:58:20.745	0.00	-87.8436	-22.6105	1	292.429993	292.690002
2020-02-05 15:58:21.685	0.00	-87.9028	-22.6132	1	292.410004	292.679993
2020-02-05 15:58:22.624	0.00	-87.8480	-22.6084	1	292.410004	292.670013
2020-02-05 15:58:23.571	0.00	-87.6987	-22.6159	1	292.410004	292.660004
2020-02-05 15:58:24.489	0.00	-87.7234	-22.6089	1	292.420013	292.679993
2020-02-05 15:58:25.449	0.00	-87.5412	-22.6127	1	292.399994	292.660004
2020-02-05 15:58:26.383	0.00	-87.6085	-22.6141	1	292.420013	292.670013
2020-02-05 15:58:27.334	0.00	-87.5466	-22.6203	1	292.420013	292.679993
2020-02-05 15:58:28.275	0.00	-87.6132	-22.6153	1	292.410004	292.670013
2020-02-05 15:58:29.209	0.00	-87.7255	-22.6193	1	292.410004	292.649994
2020-02-05 15:58:30.160	0.00	-87.6635	-22.6053	1	292.429993	292.679993
2020-02-05 15:58:31.081	0.00	-87.6959	-22.6107	1	292.410004	292.679993
2020-02-05 15:58:32.042	0.00	-87.6876	-22.6156	1	292.420013	292.679993
2020-02-05 15:58:32.973	0.00	-87.6612	-22.6359	1	292.420013	292.660004
2020-02-05 15:58:33.943	0.00	-87.5952	-22.6329	1	292.410004	292.679993
2020-02-05 15:58:34.859	0.00	-87.5216	-22.6259	1	292.420013	292.670013
2020-02-05 15:58:35.804	0.00	-87.5253	-22.6255	1	292.410004	292.660004
2020-02-05 15:58:36.755	0.00	-87.5613	-22.6172	1	292.410004	292.660004
2020-02-05 15:58:37.721	0.00	-87.5517	-22.6207	1	292.410004	292.660004
2020-02-05 15:58:38.633	0.00	-87.7061	-22.6210	1	292.420013	292.670013
2020-02-05 15:58:39.571	0.00	-87.7043	-22.6219	1	292.410004	292.660004
2020-02-05 15:58:40.511	0.00	-87.7478	-22.6168	1	292.410004	292.670013
2020-02-05 15:58:41.449	0.00	-87.6579	-22.6141	1	292.420013	292.670013
2020-02-05 15:58:42.386	0.00	-87.5861	-22.6139	1	292.399994	292.670013
2020-02-05 15:58:43.346	0.00	-87.5531	-22.6021	1	292.420013	292.660004
2020-02-05 15:58:44.258	0.00	-87.5263	-22.6033	1	292.410004	292.660004
2020-02-05 15:58:45.203	0.00	-87.6009	-22.6131	1	292.420013	292.670013
2020-02-05 15:58:46.136	0.00	-87.4824	-22.6159	1	292.410004	292.670013
2020-02-05 15:58:47.053	0.00	-87.4545	-22.6157	1	292.410004	292.679993
2020-02-05 15:58:48.008	0.00	-87.4265	-22.6260	1	292.410004	292.679993
2020-02-05 15:58:48.936	0.00	-87.4249	-22.6279	1	292.410004	292.670013
2020-02-05 15:58:49.888	0.00	-87.4264	-22.6340	1	292.410004	292.679993
2020-02-05 15:58:50.823	0.00	-87.4071	-22.6333	1	292.410004	292.679993
2020-02-05 15:58:51.764	0.00	-87.4307	-22.6312	1	292.429993	292.660004
2020-02-05 15:58:52.702	0.00	-87.2866	-22.6228	1	292.420013	292.679993
