TS	Tilt	Phase	Amplitude	PLL_Locked	TempSensor1	TempSensor2
2020-02-05 16:18:22.334	0.00	173.2540	-23.5149	1	292.440002	292.670013
2020-02-05 16:18:23.250	0.00	173.2746	-23.5250	1	292.450012	292.670013
2020-02-05 16:18:24.186	0.00	173.2745	-23.5342	1	292.450012	292.670013
2020-02-05 16:18:25.143	0.00	173.1965	-23.5385	1	292.450012	292.670013
2020-02-05 16:18:26.082	0.00	173.2983	-23.5349	1	292.450012	292.679993
2020-02-05 16:18:27.026	0.00	173.3209	-23.5464	1	292.440002	292.670013
2020-02-05 16:18:27.961	0.00	173.4325	-23.5321	1	292.440002	292.679993
2020-02-05 16:18:28.897	0.00	173.4856	-23.5375	1	292.450012	292.660004
2020-02-05 16:18:29.827	0.00	173.4113	-23.5444	1	292.450012	292.660004
2020-02-05 16:18:30.774	0.00	173.4226	-23.5478	1	292.440002	292.670013
2020-02-05 16:18:31.703	0.00	173.3289	-23.5529	1	292.440002	292.670013
2020-02-05 16:18:32.646	0.00	173.3577	-23.5455	1	292.440002	292.670013
2020-02-05 16:18:33.583	0.00	173.3082	-23.5639	1	292.450012	292.660004
2020-02-05 16:18:34.535	0.00	173.2777	-23.5661	1	292.450012	292.670013
2020-02-05 16:18:35.459	0.00	173.3417	-23.5881	1	292.440002	292.660004
2020-02-05 16:18:36.398	0.00	173.3056	-23.5853	1	292.450012	292.660004
2020-02-05 16:18:37.333	0.00	173.3737	-23.5757	1	292.440002	292.670013
2020-02-05 16:18:38.294	0.00	173.3102	-23.5863	1	292.450012	292.679993
2020-02-05 16:18:39.242	0.00	173.2903	-23.5918	1	292.459991	292.670013
2020-02-05 16:18:40.177	0.00	173.2093	-23.5896	1	292.450012	292.670013
2020-02-05 16:18:41.118	0.00	173.0915	-23.5825	1	292.440002	292.679993
2020-02-05 16:18:42.031	0.00	173.1624	-23.5875	1	292.440002	292.660004
2020-02-05 16:18:42.989	0.00	173.0930	-23.5814	1	292.440002	292.670013
2020-02-05 16:18:43.951	0.00	173.0524	-23.6058	1	292.450012	292.660004
2020-02-05 16:18:44.854	0.00	173.0138	-23.5769	1	292.450012	292.670013
2020-02-05 16:18:45.824	0.00	172.9003	-23.5799	1	292.450012	292.690002
2020-02-05 16:18:46.774	0.00	172.9224	-23.5918	1	292.440002	292.670013
2020-02-05 16:18:47.716	0.00	172.8892	-23.5892	1	292.459991	292.679993
2020-02-05 16:18:48.665	0.00	172.9240	-23.5850	1	292.440002	292.679993
2020-02-05 16:18:49.557	0.00	173.0078	-23.5894	1	292.450012	292.660004
2020-02-05 16:18:50.548	0.00	172.9404	-23.5968	1	292.440002	292.679993
2020-02-05 16:18:51.473	0.00	173.0088	-23.6117	1	292.450012	292.679993
2020-02-05 16:18:52.420	0.00	173.0667	-23.6092	1	292.429993	292.670013
2020-02-05 16:18:53.358	0.00	173.0215	-23.5974	1	292.440002	292.660004
2020-02-05 16:18:54.305	0.00	173.1003	-23.5943	1	292.450012	292.660004
2020-02-05 16:18:55.255	0.00	173.0572	-23.5964	1	292.420013	292.679993
2020-02-05 16:18:56.179	0.00	173.1734	-23.6154	1	292.440002	292.679993
2020-02-05 16:18:57.113	0.00	173.1154	-23.5961	1	292.440002	292.670013
2020-02-05 16:18:58.088	0.00	173.0840	-23.5940	1	292.429993	292.670013
2020-02-05 16:18:59.000	0.00	173.0643	-23.6014	1	292.440002	292.660004
2020-02-05 16:18:59.962	0.00	172.9873	-23.6024	1	292.440002	292.660004
2020-02-05 16:19:00.886	0.00	173.0641	-23.6140	1	292.440002	292.660004
2020-02-05 16:19:01.805	0.00	173.0346	-23.6123	1	292.440002	292.679993
2020-02-05 16:19:02.796	0.00	173.0175	-23.6079	1	292.440002	292.679993
2020-02-05 16:19:03.730	0.00	173.0357	-23.6105	1	292.440002	292.660004
2020-02-05 16:19:04.628	0.00	172.9295	-23.6161	1	292.450012	292.660004
2020-02-05 16:19:05.561	0.00	173.0175	-23.6258	1	292.440002	292.670013
2020-02-05 16:19:06.514	0.00	172.9467	-23.6205	1	292.429993	292.660004
2020-02-05 16:19:07.494	0.00	173.0127	-23.6270	1	292.450012	292.679993
2020-02-05 16:19:08.417	0.00	172.9728	-23.6361	1	292.450012	292.679993
2020-02-05 16:19:09.364	0.00	172.8824	-23.6128	1	292.440002	292.670013
2020-02-05 16:19:10.284	0.00	172.9303	-23.6139	1	292.450012	292.670013
2020-02-05 16:19:11.247	0.00	172.8233	-23.6203	1	292.450012	292.660004
2020-02-05 16:19:12.169	0.00	172.8444	-23.6200	1	292.450012	292.670013
2020-02-05 16:19:13.111	0.00	172.8040	-23.6148	1	292.440002	292.670013
2020-02-05 16:19:14.037	0.00	172.8195	-23.6357	1	292.440002	292.670013
2020-02-05 16:19:14.990	0.00	172.9392	-23.6455	1	292.440002	292.660004
2020-02-05 16:19:15.915	0.00	172.9204	-23.6315	1	292.440002	292.670013
2020-02-05 16:19:16.830	0.00	173.0166	-23.6389	1	292.440002	292.649994
2020-02-05 16:19:17.810	0.00	172.9264	-23.6403	1	292.440002	292.670013
2020-02-05 16:19:18.734	0.00	172.9960	-23.6259	1	292.440002	292.679993
2020-02-05 16:19:19.671	0.00	172.9468	-23.6098	1	292.440002	292.670013
2020-02-05 16:19:20.607	0.00	172.9506	-23.6334	1	292.450012	292.679993
2020-02-05 16:19:21.553	0.00	172.9212	-23.6353	1	292.440002	292.660004
2020-02-05 16:19:22.500	0.00	172.8592	-23.6390	1	292.440002	292.679993
2020-02-05 16:19:23.442	0.00	172.9089	-23.6346	1	292.440002	292.679993
2020-02-05 16:19:24.386	0.00	172.8909	-23.6387	1	292.440002	292.679993
2020-02-05 16:19:25.326	0.00	172.9100	-23.6445	1	292.440002	292.679993
2020-02-05 16:19:26.253	0.00	172.9391	-23.6468	1	292.440002	292.679993
2020-02-05 16:19:27.191	0.00	172.9473	-23.6567	1	292.440002	292.670013
2020-02-05 16:19:28.133	0.00	173.1209	-23.6468	1	292.440002	292.679993
2020-02-05 16:19:29.115	0.00	173.0735	-23.6354	1	292.440002	292.679993
2020-02-05 16:19:30.031	0.00	173.0270	-23.6487	1	292.440002	292.679993
2020-02-05 16:19:30.963	0.00	173.0437	-23.6404	1	292.450012	292.670013
2020-02-05 16:19:31.920	0.00	172.9731	-23.6389	1	292.450012	292.670013
2020-02-05 16:19:32.855	0.00	173.0459	-23.6283	1	292.440002	292.670013
2020-02-05 16:19:33.803	0.00	172.9805	-23.6376	1	292.440002	292.660004
2020-02-05 16:19:34.741	0.00	172.9203	-23.6381	1	292.440002	292.679993
2020-02-05 16:19:35.671	0.00	172.8857	-23.6234	1	292.429993	292.670013
2020-02-05 16:19:36.612	0.00	172.7201	-23.6236	1	292.429993	292.679993
2020-02-05 16:19:37.568	0.00	172.7985	-23.6335	1	292.440002	292.679993
2020-02-05 16:19:38.503	0.00	172.7524	-23.6235	1	292.429993	292.660004
2020-02-05 16:19:39.420	0.00	172.8617	-23.6228	1	292.429993	292.679993
2020-02-05 16:19:40.373	0.00	172.8547	-23.6315	1	292.420013	292.670013
