TS	Tilt	Phase	Amplitude	PLL_Locked	TempSensor1	TempSensor2
2020-02-05 17:21:29.037	0.00	91.6119	-20.9046	1	292.480011	292.679993
2020-02-05 17:21:29.953	0.00	91.5554	-20.9083	1	292.480011	292.679993
2020-02-05 17:21:30.893	0.00	91.4444	-20.9121	1	292.489990	292.679993
2020-02-05 17:21:31.846	0.00	91.5960	-20.9070	1	292.500000	292.690002
2020-02-05 17:21:32.780	0.00	91.6154	-20.9206	1	292.480011	292.670013
2020-02-05 17:21:33.745	0.00	91.7307	-20.9233	1	292.480011	292.679993
2020-02-05 17:21:34.674	0.00	91.7681	-20.9258	1	292.489990	292.679993
2020-02-05 17:21:35.591	0.00	91.6867	-20.9229	1	292.470001	292.679993
2020-02-05 17:21:36.559	0.00	91.7481	-20.9210	1	292.470001	292.670013
2020-02-05 17:21:37.475	0.00	91.6314	-20.9212	1	292.480011	292.690002
2020-02-05 17:21:38.440	0.00	91.5533	-20.9294	1	292.470001	292.670013
2020-02-05 17:21:39.375	0.00	91.5819	-20.9339	1	292.480011	292.679993
2020-02-05 17:21:40.316	0.00	91.5019	-20.9310	1	292.459991	292.679993
2020-02-05 17:21:41.262	0.00	91.6744	-20.9324	1	292.470001	292.679993
2020-02-05 17:21:42.201	0.00	91.6145	-20.9370	1	292.489990	292.670013
2020-02-05 17:21:43.139	0.00	91.6645	-20.9366	1	292.480011	292.660004
2020-02-05 17:21:44.057	0.00	91.6195	-20.9328	1	292.480011	292.679993
2020-02-05 17:21:45.027	0.00	91.5924	-20.9219	1	292.489990	292.670013
2020-02-05 17:21:45.972	0.00	91.6524	-20.9246	1	292.489990	292.679993
2020-02-05 17:21:46.889	0.00	91.5367	-20.9332	1	292.489990	292.670013
2020-02-05 17:21:47.846	0.00	91.5669	-20.9296	1	292.470001	292.679993
2020-02-05 17:21:48.798	0.00	91.5225	-20.9311	1	292.489990	292.679993
2020-02-05 17:21:49.728	0.00	91.5781	-20.9344	1	292.489990	292.679993
2020-02-05 17:21:50.678	0.00	91.5897	-20.9290	1	292.480011	292.679993
2020-02-05 17:21:51.611	0.00	91.4538	-20.9180	1	292.489990	292.679993
2020-02-05 17:21:52.538	0.00	91.4867	-20.9298	1	292.489990	292.690002
2020-02-05 17:21:53.484	0.00	91.4424	-20.9353	1	292.480011	292.670013
2020-02-05 17:21:54.417	0.00	91.5125	-20.9342	1	292.500000	292.670013
2020-02-05 17:21:55.383	0.00	91.4609	-20.9367	1	292.489990	292.660004
2020-02-05 17:21:56.267	0.00	91.5062	-20.9393	1	292.489990	292.679993
2020-02-05 17:21:57.239	0.00	91.5427	-20.9439	1	292.480011	292.700012
2020-02-05 17:21:58.160	0.00	91.4592	-20.9380	1	292.500000	292.679993
2020-02-05 17:21:59.111	0.00	91.5189	-20.9291	1	292.489990	292.679993
2020-02-05 17:22:00.040	0.00	91.5106	-20.9340	1	292.480011	292.679993
2020-02-05 17:22:00.972	0.00	91.6091	-20.9359	1	292.489990	292.679993
2020-02-05 17:22:01.904	0.00	91.6073	-20.9380	1	292.480011	292.679993
2020-02-05 17:22:02.851	0.00	91.5907	-20.9337	1	292.489990	292.679993
2020-02-05 17:22:03.815	0.00	91.6605	-20.9377	1	292.480011	292.690002
2020-02-05 17:22:04.729	0.00	91.5221	-20.9354	1	292.480011	292.700012
2020-02-05 17:22:05.703	0.00	91.5768	-20.9408	1	292.489990	292.679993
2020-02-05 17:22:06.612	0.00	91.4326	-20.9439	1	292.489990	292.679993
2020-02-05 17:22:07.572	0.00	91.3312	-20.9377	1	292.489990	292.679993
2020-02-05 17:22:08.521	0.00	91.4369	-20.9365	1	292.480011	292.679993
2020-02-05 17:22:09.452	0.00	91.3872	-20.9380	1	292.489990	292.679993
2020-02-05 17:22:10.419	0.00	91.3771	-20.9486	1	292.480011	292.679993
2020-02-05 17:22:11.341	0.00	91.2744	-20.9493	1	292.500000	292.670013
2020-02-05 17:22:12.290	0.00	91.2891	-20.9437	1	292.489990	292.670013
2020-02-05 17:22:13.215	0.00	91.3195	-20.9473	1	292.489990	292.679993
2020-02-05 17:22:14.155	0.00	91.3175	-20.9434	1	292.489990	292.690002
2020-02-05 17:22:15.115	0.00	91.3194	-20.9453	1	292.489990	292.679993
2020-02-05 17:22:16.035	0.00	91.2321	-20.9441	1	292.489990	292.679993
2020-02-05 17:22:17.007	0.00	91.1685	-20.9496	1	292.480011	292.670013
2020-02-05 17:22:17.939	0.00	91.1604	-20.9465	1	292.489990	292.679993
2020-02-05 17:22:18.863	0.00	91.0257	-20.9518	1	292.489990	292.670013
2020-02-05 17:22:19.811	0.00	91.0581	-20.9450	1	292.489990	292.670013
2020-02-05 17:22:20.739	0.00	91.0528	-20.9357	1	292.489990	292.670013
2020-02-05 17:22:21.696	0.00	91.1089	-20.9441	1	292.489990	292.679993
2020-02-05 17:22:22.641	0.00	91.2150	-20.9421	1	292.500000	292.679993
2020-02-05 17:22:23.581	0.00	91.1717	-20.9336	1	292.480011	292.679993
2020-02-05 17:22:24.538	0.00	91.3107	-20.9373	1	292.489990	292.679993
2020-02-05 17:22:25.446	0.00	91.3288	-20.9404	1	292.500000	292.679993
2020-02-05 17:22:26.426	0.00	91.4407	-20.9357	1	292.500000	292.679993
2020-02-05 17:22:27.345	0.00	91.5582	-20.9368	1	292.489990	292.679993
2020-02-05 17:22:28.288	0.00	91.5718	-20.9425	1	292.489990	292.679993
2020-02-05 17:22:29.232	0.00	91.6901	-20.9424	1	292.510010	292.679993
2020-02-05 17:22:30.179	0.00	91.5797	-20.9449	1	292.489990	292.679993
2020-02-05 17:22:31.123	0.00	91.5308	-20.9425	1	292.480011	292.670013
2020-02-05 17:22:32.050	0.00	91.4737	-20.9424	1	292.489990	292.670013
2020-02-05 17:22:32.985	0.00	91.3801	-20.9419	1	292.489990	292.679993
2020-02-05 17:22:33.936	0.00	91.4083	-20.9509	1	292.489990	292.670013
2020-02-05 17:22:34.866	0.00	91.2425	-20.9492	1	292.489990	292.679993
2020-02-05 17:22:35.817	0.00	91.2168	-20.9425	1	292.489990	292.670013
2020-02-05 17:22:36.760	0.00	91.2576	-20.9448	1	292.489990	292.670013
2020-02-05 17:22:37.701	0.00	91.1338	-20.9475	1	292.489990	292.679993
2020-02-05 17:22:38.667	0.00	91.1700	-20.9385	1	292.489990	292.670013
2020-02-05 17:22:39.582	0.00	91.1315	-20.9382	1	292.489990	292.679993
2020-02-05 17:22:40.521	0.00	91.2728	-20.9435	1	292.489990	292.679993
2020-02-05 17:22:41.470	0.00	91.3479	-20.9408	1	292.489990	292.679993
2020-02-05 17:22:42.397	0.00	91.3011	-20.9495	1	292.510010	292.670013
2020-02-05 17:22:43.350	0.00	91.4262	-20.9422	1	292.500000	292.690002
2020-02-05 17:22:44.291	0.00	91.2487	-20.9488	1	292.510010	292.679993
2020-02-05 17:22:45.268	0.00	91.2460	-20.9498	1	292.489990	292.679993
2020-02-05 17:22:46.171	0.00	91.2746	-20.9471	1	292.500000	292.679993
2020-02-05 17:22:47.114	0.00	91.2594	-20.9544	1	292.519989	292.679993
