TS	Tilt	Power	PLL_Locked	TempSensor1	TempSensor2	Milliseconds Elapsed
2018-04-10 08:47:51.226	-0.00	8.071E-6	1	293.050	292.820	3951
2018-04-10 08:47:51.236	-0.00	8.070E-6	1	293.050	292.820	4001
2018-04-10 08:47:51.247	-0.00	8.070E-6	1	293.050	292.820	4051
2018-04-10 08:47:51.379	-0.00	8.070E-6	1	293.050	292.820	4101
2018-04-10 08:47:51.389	-0.00	8.071E-6	1	293.050	292.820	4151
2018-04-10 08:47:51.401	-0.00	8.073E-6	1	293.050	292.820	4201
2018-04-10 08:47:51.529	-0.00	8.076E-6	1	293.050	292.820	4251
2018-04-10 08:47:51.539	-0.00	8.073E-6	1	293.050	292.820	4301
2018-04-10 08:47:51.550	-0.00	8.077E-6	1	293.050	292.820	4351
2018-04-10 08:47:51.667	-0.00	8.075E-6	1	293.060	292.820	4401
2018-04-10 08:47:51.677	-0.00	8.076E-6	1	293.060	292.820	4451
2018-04-10 08:47:51.694	-0.00	8.071E-6	1	293.060	292.820	4501
2018-04-10 08:47:51.812	-0.00	8.071E-6	1	293.060	292.820	4551
2018-04-10 08:47:51.822	-0.00	8.072E-6	1	293.060	292.820	4601
2018-04-10 08:47:51.835	-0.00	8.076E-6	1	293.060	292.820	4651
2018-04-10 08:47:51.980	-0.00	8.074E-6	1	293.060	292.820	4701
2018-04-10 08:47:51.991	-0.00	8.074E-6	1	293.060	292.820	4751
2018-04-10 08:47:52.002	-0.00	8.071E-6	1	293.060	292.820	4801
2018-04-10 08:47:52.128	-0.00	8.070E-6	1	293.070	292.820	4851
2018-04-10 08:47:52.139	-0.00	8.076E-6	1	293.070	292.820	4901
2018-04-10 08:47:52.151	-0.00	8.071E-6	1	293.070	292.820	4951
2018-04-10 08:47:52.259	-0.00	8.073E-6	1	293.070	292.810	5001
2018-04-10 08:47:52.270	-0.00	8.070E-6	1	293.070	292.810	5051
2018-04-10 08:47:52.378	-0.00	8.075E-6	1	293.070	292.810	5101
2018-04-10 08:47:52.389	-0.00	8.068E-6	1	293.070	292.810	5151
2018-04-10 08:47:52.400	-0.00	8.068E-6	1	293.070	292.810	5201
